source,rating,text,date,order_type,meal_type,price_per_person,food_rating,service_rating,atmosphere_rating,recommended_dishes,wait_time,user_location,user_reviews,user_elite,feedback_useful,feedback_funny,feedback_cool,umap_x,umap_y,cluster
Google,1.0,"Hi im from Las Vegas and my experience with this place wasn't the best. There was a lady that gave me a very disturbing look when I walked in. Im sure she works there, and the cashier was...doing his best to be kind. Overall a very uncomfortable environment and the the food was ok.",2026-03-06 01:52:45+00:00,,,,3.0,1.0,1.0,,,,,,,,,3.6649454,3.2559817,2
Google,2.0,Food Is ok ordered pa ka pow and thought it was minced meat but it was just slices of meat. I was disappointed. Never coming back. There’s a better spot by the 170 up sepulveda they never disappoint.,2024-06-20 21:07:24+00:00,Take out,Lunch,$10–20,,,,,,,,,,,,5.219943,2.9785988,1
Google,1.0,"For the cost of the food for take out and the additional charges 3+$ for anything extra: chicken , meat, veggies, shrimp, rice, tofu, “salad”…. you would think it would have been great. I paid additional for mixed veggies and received extra onion strips … I asked for a side salad and received 1 big piece of lettuce with 3 carrots and 2 pieces of cucumber. Paid extra for a fried egg and rice, the egg was delicious , the rice was enough for 1 person but if you are getting for more than 1 person you’re going to pay a lot more than you think you would. The soup wasn’t even that flavored, I’m disappointed. .",2024-11-08 09:55:58+00:00,Delivery,Other,$50–100,1.0,1.0,,,,,,,,,,2.9986107,3.398673,2
Google,2.0,"Cashier was very rude to CUSTOMER picking up food. Order was for 6 dishes, extra condiments were requested, and rude response was given. "" This is not a sushi restaurant."" That was an unnecessary comment to make.",2025-07-09 20:39:26+00:00,Take out,,,4.0,2.0,4.0,,1+ hour,,,,,,,1.883128,2.7785618,0
Google,1.0,"Me & my boyfriend been customers here for the past 6 years but apparently as of today we’re banned only because we didn’t pick up our food 1 time due to us being involved in a car crash. it was an emergency & they didn’t even give us the chance to explain ourselves, 6 years ! We’ve been coming here & because of this 1 time of us not being able to pick up our food we’ve been banned & if we did order the cook only agreeed if we payed an extra $60 on top of a $65 dollar order. Can u believe that ?!? $125 for some chow Meiji , rice , & orange chicken . They should be ashamed of themselves.",2022-05-03 02:43:30+00:00,,,,,,,,,,,,,,,2.249012,2.8900766,0
Google,1.0,"Girl on the counter is more in to heh phone than her job. As I speak, she's in her phone!!! Wow! Service is a thing here in the U.S.A. Everything else is good here",2022-09-25 21:48:20+00:00,,,,,,,,,,,,,,,1.8396459,3.663953,0
Google,1.0,I drove out of the way here and they are closed at this moment despite their online hours posted on Google,2024-05-30 22:42:22+00:00,,,,,1.0,,,,,,,,,,2.8816335,4.3085923,2
Google,1.0,They are never open. Every time I try to go there for lunch after 12 noon they are not open.,2022-08-27 23:37:58+00:00,,,,,,,,,,,,,,,2.7113883,4.6020436,2
Yelp,3.0,"I recently ordered the yellow curry with tofu online, and the process was incredibly straightforward. While I had high expectations for my meal, I found the vegetables undercooked and overly crunchy, especially the potatoes. Despite this, I appreciated the generous portion size.",2026-08-06 04:47:33+00:00,,,,,,,,,"Los Angeles, CA",104.0,26.0,0.0,0.0,0.0,5.261423,1.8955623,1
Yelp,2.0,Walk in & no one is sitting down eating the music is blasting Notorious B.I.G. Walk up to the counter and out comes a man over worked and asked me what I want. Politely tell him I need another two minutes to view the menu. By the way he's also the only one answering phone and running back and forth to the kitchen. I ordered Pad See Ew and Steamed Chicken Dumplings. I have a seat and start noticing that this places is out dated and definitely needs some work. A woman appears from the back and shouts at the man to answer the phone. At first I thought maybe she doesn't speak English since I said hello to her and smiled while she put two drinks at my table I didn't order. She doesn't make eye contact and doesn't say anything back: extremely rude and made me feel awkward. Phone rings again and shouts out to him the phone is ringing and to call the customer back. dumplings 3/5 pad see ew: 3/5 I have been here 3 times and I've had the pad see ew 2 times and I still think they are below average on flavor. I once had the orange chicken and that's incredibly delicious and worth it. The dumplings didn't taste out of this world and I'd never recommend anyone to get them. You lost me as a customer. 06/21/24,2024-06-22 13:17:34+00:00,,,,,,,,,"San Fernando, CA",559.0,,1.0,0.0,1.0,1.7625376,3.3566096,0
Yelp,3.0,"Cute little restaurant, neat and clean. Service is fast and courteous but the food itself is mid-range. Authentic, but flavors are ok. I would recommend as a solid pick for a first time Thai experience. White Rice was a bit dry, costs extra We had Pad Thai, Pineapple Fried Rice, Nam ploy? Beef Salad(served with uncooked cabbage leaf quarter chunk) not really recommended), Chkn satay, Yellow Curry.",2023-07-02 13:53:27+00:00,,,,,,,,,"West Hills, CA",149.0,26.0,0.0,0.0,0.0,4.7104325,1.9015523,1
Yelp,2.0,"We ordered to go; the food was mediocre. For $70 it was not worth it, we ordered through Yelp and by the time Yelp informed it was ready to be picked up, my husband went and the staff had not even seen the order yet. This restaurant accepts orders by the time they open but do not adhere to customer service. Again, the food was okay.",2026-01-08 19:44:05+00:00,,,,,,,,,"Panorama City, Los Angeles, CA",13.0,,0.0,0.0,0.0,2.9747303,2.8855357,2
Yelp,1.0,"We wanted so badly to like this place because it looked quaint (in the best way) and the menu looked amazing. However we tried THREE times to eat here and were turned away each time. We tried different weeks (within different months), different days of the week, and different times of day. Every single time we were told that they didn't have most of the menu available, so the most we could get was maybe one soup or a salad of some sort. We're tired of trying at this point and won't be making a fourth attempt.",2024-11-08 18:24:39+00:00,,,,,,,,,"San Fernando Valley, CA",109.0,,0.0,0.0,0.0,3.3544683,3.6962478,2
Yelp,2.0,"This restaurant was not that great. I ordered pad thai, it was blah, it was not that great. The only thing I liked before I ate there, is it was close to my house. Would not order from them again. I didnt eat in restaurant my order was to go. Vics Thai Food in North Hollywood I would suggest",2024-10-26 22:50:51+00:00,,,,,,,,,"San Francisco, CA",2.0,,0.0,0.0,0.0,4.146063,2.474251,1
Yelp,2.0,3 stars at best. We ordered delivery a few weeks back and I wasn't thrilled with our food The Pad Thai was clumped together and the flavors were off as well Food was not hot when it was delivered but it was on time Not sure if I recommend going here or not,2022-02-08 01:28:56+00:00,,,,,,,,,"Porter Ranch, Los Angeles, CA",176.0,,0.0,0.0,0.0,4.5565615,2.8105571,1
Yelp,1.0,Ordered pad Thai and the noodles were the wrong ones. They were like the skinny spaghetti and it was over cooked. Barely had any sauce. It was a gross mess,2023-12-02 22:01:48+00:00,,,,,,,,,"Sylmar, Los Angeles, CA",30.0,,0.0,0.0,0.0,5.130161,2.478853,1
Yelp,2.0,Orange chicken simply not good. Chewy dark meet chicken that was questionable. Not quality. Panang curry was just red sauce that was spicy. No real curry flavor. Would not order again.,2022-05-08 03:59:55+00:00,,,,,,,,,"Los Angeles, CA",88.0,,0.0,1.0,0.0,5.4317737,2.0462964,1
Yelp,1.0,If I could give this place 0 stars I would. Horrible place the kid working there yells at you when they have messed up your order and they are not willing to fix it. They have not customer service whatsoever that's why they are always empty.,2022-01-10 02:53:30+00:00,,,,,,,,,"North Hills, Los Angeles, CA",16.0,,1.0,0.0,1.0,2.4861858,3.5288806,0
Yelp,1.0,This restaurant have a good food but bad customer service the man who took the order at the counter was rude and complained about us because it was hot and they don't turn on the air conditioning in the restaurant even when we asked,2021-09-18 06:09:18+00:00,,,,,,,,,"Mariposa, Glendale, CA",10.0,,2.0,2.0,0.0,2.6005762,2.7195616,0
Yelp,1.0,"Went in today, the menu changed and they no longer have the garlic pepper chicken. The guy working was a total jerk and claimed he has never had that dish!!! And then claimed the menu hasn't changed in two years!!! If you look at allllll the pictures of the yellowish menu its on there!! We will no longer be coming here!!",2022-03-07 03:22:39+00:00,,,,,,,,,"Whittier, CA",151.0,,0.0,0.0,0.0,3.4742186,4.178771,2
Yelp,2.0,It was fine . I was not able to pick the spicy level on the curry and it was way to spicy for me. The glass noodles was ok.,2021-12-23 05:36:19+00:00,,,,,,,,,"Lawndale, CA",11.0,,0.0,0.0,0.0,4.957642,2.306014,1
