source,rating,text,date,order_type,meal_type,price_per_person,food_rating,service_rating,atmosphere_rating,recommended_dishes,wait_time,user_location,user_reviews,user_elite,feedback_useful,feedback_funny,feedback_cool
Google,5.0,The orange chicken meal is really good. I really enjoyed the spicy sauce they add to the orange chicken. The spicy sauce is perfection. Its not easy to find a good restaurant that can give a really good spicy level to the chicken like this place. And OMG the TOM YUM SOUP was super amazingly delicious and tasty! 😍 the mushroom in the soup was perfect! It was my first time trying this soup 🍲 and it was exquisite 😍. The whole meal was really good. I also enjoyed the Thai Ice Tea. The seats and place is really clean and comfortable to dine in. I appreciate the service here. Thank you.,2025-11-15T22:53:31Z,Dine in,,$10–20,5.0,5.0,5.0,,No wait,,,,,,
Google,5.0,"Insane value- i got all this for $12 + $5 thai tea from their lunch special! They definitely deserve more business, and we should support local more often. Yummy!",2026-03-20T23:37:24Z,,,,5.0,5.0,5.0,,,,,,,,
Google,5.0,"A new place for me. I love soup, and this place did not disappoint. Good size portions and very flavorful. The staff are friendly and accommodating. The menu options are great. Curry 🍛 is one of my favorite Thai dishes and I really like there panang curry. There is parking on the street, a lot to the south and behind. Wheelchair accessible on both sides. The decorations keep me entranced and I forget to read the menu.",2026-05-30T00:12:04Z,Take out,,,5.0,5.0,5.0,,No wait,,,,,,
Google,5.0,"Ordered chicken pad thai, pineapple fried rice, spicy (drunken) noodles, and spicy beef salad. Everything tasted fine, except the spicy drunken noodles itself was a bit overcooked, and was a bit clumpy, I never had that experience at other Thai places. Maybe the rice noodles were frozen and thawed. But the flavor was good. Will definitely be back next time when cravings hit.",2025-07-29T03:30:58Z,Take out,,,4.0,5.0,5.0,,,,,,,,
Google,5.0,"Amazing value—I purchased everything at $12 plus $5 for Thai tea as part of their lunch special! They undoubtedly deserve more business, and we ought to patronize local businesses more frequently. Delicious!",2026-04-21T10:48:26Z,,,,5.0,5.0,5.0,,,,,,,,
Google,5.0,"Small place, delicious food, good service. Their Pad Thai is bomb, only downside is parking cause is a little limited. But it's worth checking out.",2024-11-29T04:42:29Z,Dine in,,$10–20,5.0,5.0,5.0,,,,,,,,
Google,5.0,"Quaint little family-owned Thai restaurant. I had the lunch special, and everything was really delicious and very reasonably priced. The amount of food you get for the price is actually pretty incredible. Will definitely be back.",2026-05-05T15:12:53Z,,,$10–20,5.0,4.0,4.0,,No wait,,,,,,
Google,5.0,"This is such a good, hole-in-the-wall Thai spot! My partner loved his Kung Pao Chicken with Fried Rice and my Pad Thai was actually one of the best I've had. Plus with the good portions and the lunch special, it was a great deal! The staff was really nice, our waiter noticed that I chose tofu as my protein and he let me know that the soup had a meat base in case I was vegetarian, which was very thoughtful. I give the food, the price, and the service all 5 stars - we'll be back to try more dishes!",2021-11-23T06:24:24Z,Dine in,Lunch,$1–10,,,,,,,,,,,
Google,5.0,"The soup was really tasty especially with the fish sauce they have, my son loved their chow mein very flavorful and I loved my pad see ew it was perfect over all the place was really clean the service was great the guy their was very attentive and friendly will definitely stop by again",2024-09-23T02:26:00Z,Dine in,Dinner,$30–50,5.0,5.0,5.0,"Soup, Seafood",,,,,,,
Google,4.0,"Nice crispy orange chicken that you can actually taste the citrus of the orange but still slightly sweet 😋 Came with a side of rice. The Mongolian beef was also savory, good amount of veggies and meat. Though if u prefer more meat this won't have enough for you. They have regular and chicken egg rolls same size for both. Boba thai tea was good and not too sweet like other places. Great place to go 💫",2022-09-13T00:59:24Z,Dine in,,$10–20,,,,,,,,,,,
Google,1.0,"Hi im from Las Vegas and my experience with this place wasn't the best. There was a lady that gave me a very disturbing look when I walked in. Im sure she works there, and the cashier was...doing his best to be kind. Overall a very uncomfortable environment and the the food was ok.",2026-03-06T01:52:45Z,,,,3.0,1.0,1.0,,,,,,,,
Google,5.0,"Update never mind they just moved locations thank goodness!!! Spicy noodle with tofu level 3, appetizers and orange chicken are my usual go to’s! I’m so sad to hear that this place has closed. Amazing food and great service.",2022-08-05T20:11:23Z,,,,,,,,,,,,,,
Google,5.0,"Love this place! Go there with my co-workers all the time for lunch. Great dishes prepared well, very friendly service, and a relaxed casual atmosphere. Do recommend for a quick lunch. The spicy sauces are done right, too. The vinegar/Thai chili pepper one will kick your butt. Try their lunch specials!",2019-11-16T06:26:42Z,,,,,,,,,,,,,,
Google,5.0,"What a great find. Jenny‘s thai was perfect. They even altered something on the starter menu for us which was really kind to suit our needs. Great flavours, great food, great service, even checked our vaccine proof to rest in. I would definitely recommend",2021-10-27T00:57:26Z,,,,,,,,,,,,,,
Google,2.0,Food Is ok ordered pa ka pow and thought it was minced meat but it was just slices of meat. I was disappointed. Never coming back. There’s a better spot by the 170 up sepulveda they never disappoint.,2024-06-20T21:07:24Z,Take out,Lunch,$10–20,,,,,,,,,,,
Google,5.0,"We ordered delivery for the second time. The food was fantastic again!! I've tried many different Thai restaurants in the last year since we moved to Northridge and so glad we found this spot in Granada Hills!! The flavor is on point!! So many other places are hit and miss!! Everything we ordered is excellent! Beef spicy noodles (aka drunken noodles), shrimp pad woon sen, shrimp & tofu green curry extra eggplant, tom kha seafood soup & shrimp pad see ew. Shrimp, fish and excetera were all fresh!! Next time we will dine in!! This will be our to go place for Thai!! The guy that took our order was nice! Delivery was fast and on time for a large order! Give them a try... you won't be disappointed!!",2021-04-09T23:26:46Z,,,,,,,,,,,,,,
Google,4.0,"Nice and clean, still open when most everything else on the block wasn't. Thankfully! As I had been dreaming of Thai ice tea all day, had two! Service a little slow, all my needs were met, except a place to charge my phone ( everywhere can't be Starbucks ).",2016-11-04T18:59:34Z,,,,,,,,,,,,,,
Google,5.0,"This is a small family owed restaurant and casual. I love that they have booths. The food is very fresh, flavorful, delicious, and home cooking. The serving portions are great and the prices reasonable. It’s the only restaurant I have ever been to that if I didn’t write a review, I would have felt guilty. :). It’s that much of a find. The family is hard working and humble as they provide comfort food.",2025-06-02T01:21:48Z,,,,5.0,5.0,5.0,,,,,,,,
Google,5.0,Three words to best describe my experience at Spice Up Thai? WILL COME BACK !!! Shout to Nikki! For his outstanding hospitality the moment I enter the door!(keep in mind it was closing time !) but yet he still was eager to take my order and I got my Thai food craving fulfilled thanks to SPICE UP THAI!!!,2025-09-13T04:51:58Z,,,$20–30,5.0,5.0,5.0,,No wait,,,,,,
Google,5.0,"Our usual Thai place was full so we decided to come here. So glad we did!! The food is amazing!!! So many options and so much flavor. Options for everyone. I personally got the yellow curry with tofu and it was a 11/10. It seems like everything is freshly made and according to the people I dined with, even the seafood tasted fresh. The service was excellent and our waiters were very attentive and amicable. Highly recommend to anyone who's in the valley. The only downside is that if you dine in during a hot day, it seems they don't turn on the AC full blast or just use fans so maybe consider take out over dine in. Otherwise, try it!!",2023-08-28T19:29:59Z,Dine in,,$10–20,5.0,5.0,3.0,"Soup, Kung Pao Chicken with Fried Rice, Red Curry",,,,,,,
Google,5.0,Hidden Gem 😍 Just find out this place great food clean restaurant kind customer service got spicy beef fried rice awesome love this place,2018-07-20T23:08:23Z,,,,,,,,,,,,,,
Google,5.0,Amazing Thai food. I will definitely be back,2026-06-17T00:36:05Z,,,,,,,,,,,,,,
Google,1.0,"For the cost of the food for take out and the additional charges 3+$ for anything extra: chicken , meat, veggies, shrimp, rice, tofu, “salad”…. you would think it would have been great. I paid additional for mixed veggies and received extra onion strips … I asked for a side salad and received 1 big piece of lettuce with 3 carrots and 2 pieces of cucumber. Paid extra for a fried egg and rice, the egg was delicious , the rice was enough for 1 person but if you are getting for more than 1 person you’re going to pay a lot more than you think you would. The soup wasn’t even that flavored, I’m disappointed. .",2024-11-08T09:55:58Z,Delivery,Other,$50–100,1.0,1.0,,,,,,,,,
Google,4.0,Ordered the chicken larb. Great lunch deal at less than $12 and I was full and content by the end.,2019-08-02T05:14:29Z,,,,,,,,,,,,,,
Google,5.0,"I love this place. If you like Thai food, this is Authentic and EPIC. The Spicy noodle is to die for. The Tom yum and Tom kha soup are AMAZING, and my personal favorite is the Pad see ew (with beef but chicken rocks too!) The service is always friendly and the food is always fresh. Stop by, get some great food and don't forget the Thai tea!",2024-06-17T22:15:40Z,,,,5.0,5.0,5.0,,,,,,,,
Google,5.0,"¡eating at 6:50 pm Pacific DayLight Savings Time on Saturday, 12 August 2023 Common Era or CE formerly known as Ano Domini or AD!",2023-08-13T01:50:34Z,Dine in,,$50–100,5.0,5.0,5.0,,,,,,,,
Google,5.0,"If you’re looking for a cozy place with great food, this is it. The portions are a good size and everything I’ve tried has been delicious. I’ve had almost everything on the menu, and it never disappoints. If you’re in Mission Hills, I definitely recommend stopping by.",2024-10-20T01:04:56Z,Dine in,Dinner,,,,,,No wait,,,,,,
Google,5.0,"I simply LOVE this place. Food is delicious, the workers are lovely, and it is cheap cheap cheap! Not the quality, the price! This little hole in the wall is a GEM in our town. Lunch specials are very cheap and have a variety of selections to choose from. My personal favorite is yellow curry. I also love their coconut soup. If mango and sticky rice is in season, DEFINITELY get it. It is a delicious and refreshing dessert that you wont regret. The interior of the restaurant is cute, it seems like every time I go in there they have some new art to hang on the wall. Its typically quiet and peaceful inside the restaurant. Definitely try, Spice Up Thai!",2019-04-12T15:38:04Z,,,,,,,,,,,,,,
Google,5.0,"Surprisingly good Thai food! Honestly, I wouldn't have expected that here in Mission Hills. The Spicy Beef salad is really well done, and it has good spice and flavor. The Pad Prik King is also pretty good..which I tried it with chicken. I will be happily coming back. The menu is fairly diverse, prices are average for a Thai place...moderately priced. The decor isn't the best, but some of that is owed I suppose to the fact the restaurant occupies part of a strip mall in a not so hot area. And, that is probably what makes the restaurant and the food more remarkable. It isn't great, but it definitely is good. Seriously, the Spicy Beef salad is delicious.. :)",2018-07-16T23:12:22Z,,,,,,,,,,,,,,
Google,5.0,"My favorite Thai restaurant in the valley. The food is delicious (from the Spice Up Fresh Rolls, to the curries, to the delicious Tom Yum)! The service is great, and the staff is very friendly. Parking is a pain, but it's worth it. If you're looking for truly authentic Thai Food, definitely give this little local gem a try. If you're a meat eater, try the beef jerky, you'll be glad you did!",2018-07-01T02:31:59Z,,,,,,,,,,,,,,
Google,5.0,"I cannot rave enough about Jenny's Thai Restaurant! The chef behind all this fabulous food is affable, smart, outstanding - husband Pat. They are an excellent team, care about their customers, the place is immaculate, and they will do anything to please their customers with the BEST! My family and I have frequented their place for 20 Years - even when they were in a previous location. We just followed them. They're WORTH IT! I give them FIVE STARS!!!",2018-06-07T02:35:27Z,,,,,,,,,,,,,,
Google,4.0,"Update since this is no longer Jenny's Thai. I still had a pretty good experience, they took my order the same, though the food and service is not the same. Wherever Jenny is I hope she is happy! She was the best. I will try eating here again, but a little suspicious they kept the same phone number and even reviews. For Jenny's Thai: LOVE IT! The lady who runs the restaurant (still not sure if this is Jenny) is the nicest. I have become a regular, ordering once every couple of weeks and they have never once dissapointed, and with multiple specialized orders. Well priced, good sized portions. Pad Thai amazing, Yellow Curry AMAZING, Pad see eww excellent, Thai tea oh YES etc etc. Highly recommended!",2021-06-17T01:59:19Z,Take out,Dinner,,,,,,,,,,,,
Google,2.0,"Cashier was very rude to CUSTOMER picking up food. Order was for 6 dishes, extra condiments were requested, and rude response was given. "" This is not a sushi restaurant."" That was an unnecessary comment to make.",2025-07-09T20:39:26Z,Take out,,,4.0,2.0,4.0,,1+ hour,,,,,,
Google,4.0,"Your typical mom and pop shop, So nothing fancy. Food is tasty, but the portions are small. If you want a lot, the soups come larger portioned. Good for take out.",2024-02-19T16:41:33Z,Dine in,Dinner,$10–20,4.0,5.0,3.0,"Soup, Beef",,,,,,,
Google,5.0,"Everything I have tried is excellent. This is a lovely place to enjoy really good food for a great price. I especially love the icee drinks they have, they are excellent on a hot summer day. They are quick to serve you. The waitresses are super friendly and greet you with a smile. This really is a hidden gem, very very good!",2018-04-16T10:12:54Z,,,,,,,,,,,,,,
Google,5.0,"This place is exceptional. My brother has not eaten for about 5 days and started to get an appetite, so this was one of his first meals. He and we all loved to food. Service was quick, polit, and professional. I recommend this place highly.",2023-12-24T03:55:29Z,Take out,,$10–20,5.0,5.0,5.0,"Soup, Seafood",,,,,,,
Google,5.0,The orange chicken tastes like heaven. It’s Crispy . not overwhelmingly sweet or sour. It’s just perfect. No after taste as well. I’d come back for that. I had drunken noodles medium level and it was a bit more than medium but I enjoyed it.,2022-12-02T01:21:57Z,,,,,,,,,,,,,,
Google,5.0,"The food is so yummy, it was great trying out this new place & Jayne (Jane?) was amazing she was so sweet and friendly when I came in to order, very accommodating and even brought me water while I waited. It’s so refreshing to go somewhere to order & you’re greeted so kindly with a very positive sweet attitude. Thank you Jayne!",2024-02-17T03:47:10Z,Take out,Dinner,$30–50,4.0,5.0,4.0,,,,,,,,
Google,5.0,"The owners are very welcoming! The restaurant is very clean!!! And the food is very authentic which is what I look for personally. Me and my family have been eating at Spice up thai since their previous location. P.s. they only serve mango sticky rice seasonally, says a lot! Definitely recommend!!!",2024-02-04T23:52:57Z,,,,5.0,5.0,5.0,,,,,,,,
Google,4.0,"the food was very tasty however I asked for a 10 level for my spicy beef salad and honestly the spice level was probably no more than a two. The fried wontons had literally the thinnest slice of chicken to the point where I can almost see through the chicken but they were still tasty.the restaurant was able to bring back Justice with the delicious eggplant that was actually spicy, tasty, full of different flavors. I highly recommend getting that dish.",2019-07-20T22:44:08Z,,,,,,,,,,,,,,
Google,5.0,"Jenny's Thai Resturant is absolutely amazing! The eatery is clean, well decorated, spacious, and comfortable. Jenny, along with her husband, not only prepare amazing cuisine that can satisfy your appetite day after day, but they offer genuine warmhearted hospitality every time and It's honestly what makes this restaurant a staple in the community.",2019-01-11T19:23:45Z,,,,,,,,,,,,,,
Google,5.0,"I have been coming here for a while now due to it being the nearest thai food. Honestly, have enjoyed the food every time. Its never so busy that I can't get a seat which is always a treat, I've always hated to wait for food but that's never the case with this place. I order the usual; yellow curry chicken and steamed rice, sour and spicy soup and pad see yu noodles in beef, tastes SO GOOD! Never gets old. The place is always clean, the docorations are nothing to rave about but that's okay cause it's about the food and the hospitality anyway. The prices are not too bad in comparison to other places I've been. This place has become our little spot. I hope this place continues to be in business for many years to come, it really is underrated.",2019-03-28T17:03:14Z,,,,,,,,,,,,,,
Google,4.0,"I love going to a place called Jenny's and finding out Jenny is actually cooking the stuff back there! That alone deserves a little attention. But the food would still stand well by itself if that cool bit never existed. I'm here once a month minimum. Spicy Beef Salad, ANY noodles, and egg noodle seafood soup. Make sure you visit, ordering on the phone isn't the best way to get this food :)",2019-02-25T14:58:51Z,,,,,,,,,,,,,,
Google,5.0,"One of the best places in the valley to eat. Simple and plain. The food is amazing and the quality of their customer service is top-notch, very friendly people. They are very good with the pricing and they serve generous amounts of quality food with every order. I like their Pad See Ew & Tom Kha the best. They deserve more recognition",2022-05-17T05:45:41Z,,,,,,,,,,,,,,
